searched_term,matched_term,definition,synonyms,ontology_acronym,ontology_name,last_updated,has_child,URL
depth,Depth,NA,['Depth (attribute)'],SNOMEDCT,SNOMED CT,2017-02-06,True,http://purl.bioontology.org/ontology/SNOMEDCT/246171009
depth,Depth,NA,['Depth (qualifier value)'],SNOMEDCT,SNOMED CT,2017-02-06,False,http://purl.bioontology.org/ontology/SNOMEDCT/131197000
depth,Depth,NA,NA,LOINC,Logical Observation Identifier Names and Codes,2017-02-06,True,http://purl.bioontology.org/ontology/LNC/LP18009-8
depth,Depth,NA,NA,LOINC,Logical Observation Identifier Names and Codes,2017-02-06,False,http://purl.bioontology.org/ontology/LNC/MTHU017832
depth,Depth,['The extent downward or inward; the perpendicular measurement from the surface downward to determine deepness.'],NA,NCIT,National Cancer Institute Thesaurus,2017-04-10,False,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25333
depth,Depth,NA,NA,RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,True,http://purl.bioontology.org/ontology/RCD/X75PZ
depth,depth,"['[BI-RADS]  Mammo: Indicate depth in the breast (anterior, middle, posterior third)']",NA,RADLEX,Radiology Lexicon,2016-11-16,False,http://www.radlex.org/RID/#RID39066
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,PATO,Phenotypic Quality Ontology,2014-08-15,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision."", 'This term is for curator easiness - denote downward/inward length - we might consider obsoleting this but we have to consider how curators are going to represent them if we do.']",NA,NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,depth,['depth is the dimensional extent into a plane of a 3D projection of the object.'],NA,SIO,Semanticscience Integrated Ontology,2017-02-12,True,http://semanticscience.org/resource/SIO_000039
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,ENM,eNanoMapper,2017-01-26,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,Depth,NA,NA,SWEET,Semantic Web for Earth and Environment Technology Ontology,2012-09-24,True,http://sweet.jpl.nasa.gov/2.3/propSpaceHeight.owl#Depth
depth,depth,['&lt;ncicp:ComplexDefinition&gt;&lt;ncicp:def-definition&gt;A 1-D extent downward or backward or inward.&lt;/ncicp:def-definition&gt;&lt;/ncicp:ComplexDefinition&gt;'],NA,NPO,NanoParticle Ontology,2012-08-17,False,http://purl.org/obo/owl/PATO#PATO_0001595
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,NBO,Neuro Behavior Ontology,2014-12-05,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,Depth,NA,NA,CSEO,Cigarette Smoke Exposure Ontology,2014-07-10,False,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Depth
depth,depth,['This term is for curator easiness - denote downward/inward length - we might consider obsoleting this but we have to consider how curators are going to represent them if we do.'],NA,BIOMODELS,BioModels Ontology,2012-04-03,True,http://purl.org/obo/owl/PATO#PATO_0001595
depth,Depth,"[""A location identifier based on a feature's inferred distance from the surface of the associated anatomy.""]",NA,DCM,DICOM Controlled Terminology,2017-05-12,False,http://dicom.nema.org/resources/ontology/DCM/111020
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,ONTONEO,Obstetric and Neonatal Ontology,2017-03-04,False,http://purl.obolibrary.org/obo/PATO_0001595
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,FLOPO,Flora Phenotype Ontology,2016-03-06,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,depth,['This term is for curator easiness - denote downward/inward length - we might consider obsoleting this but we have to consider how curators are going to represent them if we do.'],NA,HUPSON,Human Physiology Simulation Ontology,2014-04-07,True,http://purl.org/obo/owl/PATO#PATO_0001595
depth,Depth,['?'],NA,ACGT-MO,Cancer Research and Management ACGT Master Ontology,2010-03-17,False,http://www.ifomis.org/acgt/1.0#Depth
depth,depth,"[""A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.""]",NA,ECSO,The Ecosystem Ontology,2016-09-12,True,http://purl.obolibrary.org/obo/PATO_0001595
depth,depth,['the perpendicular measurement downward from a surface'],NA,ECSO,The Ecosystem Ontology,2016-09-12,False,http://purl.dataone.org/odo/ECSO_00000515
depth,Depth,NA,NA,ECSO,The Ecosystem Ontology,2016-09-12,True,http://purl.dataone.org/odo/ECSO_00001250
depth,depth,NA,NA,ORTH,Orthology Ontology,2016-04-03,True,http://semanticscience.org/resource/SIO_000039
