searched_term,matched_term,definition,synonyms,ontology_acronym,ontology_name,last_updated,has_child,URL
eyeball,Eyeball,"['Organ with organ cavity which is connected to the optic nerve. Examples: There are only two eyeballs, the right and the left eyeballs..']",NA,FMA,Foundational Model of Anatomy,2017-04-01,True,http://purl.org/sig/ont/fma/fma12513
eyeball,Eyeball,"['Organ with organ cavity which is connected to the optic nerve. Examples: There are only two eyeballs, the right and the left eyeballs..']",['Eye Globe'],ROO,Radiation Oncology Ontology,2015-07-17,True,http://purl.org/sig/ont/fma/fma12513
eyeball,Eyeball,NA,NA,GALEN,Galen Ontology,2007-01-16,False,http://www.co-ode.org/ontologies/galen#Eyeball
eyeball,Eyeball,NA,NA,BIOMODELS,BioModels Ontology,2012-04-03,True,http://purl.org/obo/owlapi/fma#FMA_12513
eyeball,Eyeball,"['Organ with organ cavity which is connected to the optic nerve. Examples: There are only two eyeballs, the right and the left eyeballs..', '.. A boundary class ..']",NA,SDO,Sleep Domain Ontology,2015-06-23,False,http://purl.org/obo/owl/FMA#FMA_12513
eyeball,eyeball,NA,['globe'],MAT,Minimal Anatomical Terminology,2015-08-20,False,http://purl.obolibrary.org/obo/MAT_0000283
eyeball,Eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,True,http://purl.org/sig/ont/fma/fma12513
eyeball,Eye structure,NA,"['Structure of eye proper', 'Eyeball', 'Eye', 'Eyeball structure', 'Structure of eye proper (body structure)']",SNOMEDCT,SNOMED CT,2017-02-06,True,http://purl.bioontology.org/ontology/SNOMEDCT/81745001
eyeball,Eye,['The organ of sight or vision.'],"['Optic', 'Ophthalmic', 'Eyeball', 'Ocular']",NCIT,National Cancer Institute Thesaurus,2017-04-10,True,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12401
eyeball,Globe,NA,['Eyeball'],RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,False,http://purl.bioontology.org/ontology/RCD/Xa0Gs
eyeball,globe,NA,"['Bulbus oculi', 'eyeball']",RADLEX,Radiology Lexicon,2016-11-16,False,http://www.radlex.org/RID/#RID9592
eyeball,eyeball of camera-type eye,['The camera-type eye apart from its appendages/adnexa.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",EFO,Experimental Factor Ontology,2017-05-16,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,"Eye, NOS",NA,"['EYES AND EYE APPENDAGES', 'Eyeball', 'Ocular']",SNMI,"Systematized Nomenclature of Medicine, International Version",2017-02-06,True,http://purl.bioontology.org/ontology/SNMI/T-AA000
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",UBERON,Uber Anatomy Ontology,2017-05-31,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eye structure,"['A light-perceptive organ consisting of an aggregation of optic elements (ommatidia) generally located on each side of the head; the cuticular part (cornea) consists of several hundred circular corneal facets (lenses); bounded by the ocular sclerite.', 'An organ of sight; especially: a nearly spherical hollow organ that is lined with a sensitive retina, is lodged in a bony orbit in the skull, is the vertebrate organ of sight, and is normally paired.n2: All the visible structures within and surrounding the orbit and including eyelids, eyelashes, and eyebrows.', 'Cavitated compound organ that consists of the neural retina, lens, cornea and iris and is the sensory apparatus of the visual system.', 'The compound eye is a light sensing organ composed of ommatidia.']","['adult compound eye', 'compound eye', '""Facettenauge""', '""zusammengesetztes Auge""', 'visual_system', '""Komplexauge""', 'Orbital region', 'eyes', 'eyeball', 'visual apparatus', 'Orbital part of face', 'eye']",CLO,Cell Line Ontology,2017-05-31,False,http://www.ebi.ac.uk/efo/EFO_0000827
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eye,['A cavitated compound organ that transduces light waves into neural signals.'],"['eyes', 'eyeball']",TAO,Teleost Anatomy Ontology,2013-08-22,True,http://purl.obolibrary.org/obo/TAO_0000107
eyeball,Eye,"['Organ with organ cavity which is connected to the optic nerve. Examples: There are only two eyeballs, the right and the left eyeballs.. (source : UWDA)']","['Structure of eye proper', 'oeil, SAI', 'Optic', 'yeux', 'Bulbus oculi', 'Globe', 'Eye structure', 'oculaire', ""bulbe de l'oeil"", 'Eyeball structure', 'Eyeball', 'ophthalmic', 'globe oculaire', 'Ocular structure', 'Ocular']",ONTOAD,Bilingual Ontology of Alzheimer's Disease and Related Diseases,2013-12-02,True,http://doe-generated-ontology.com/OntoAD#C0015392
