searched_term,matched_term,definition,synonyms,ontology_acronym,ontology_name,last_updated,has_child,URL
Anthozoa,Anthozoa,"['A class in the phylum CNIDARIA, comprised mostly of corals and anemones. All members occur only as polyps; the medusa stage is completely absent.', 'Species of ANTHOZOA which secrete a skeleton and are responsible for the formation of CORAL REEFS.']","['Corals', 'Anthozoas', 'Coral']",MESH,Medical Subject Headings,2017-02-06,True,http://purl.bioontology.org/ontology/MESH/D037421
Anthozoa,Anthozoa,NA,NA,NCBITAXON,National Center for Biotechnology Information (NCBI) Organismal Classification,2017-02-06,True,http://purl.bioontology.org/ontology/NCBITAXON/6101
Anthozoa,Anthozoa,"['class in the phylum Cnidaria, comprised mostly of corals and anemones; members occur only as polyps; the medusa stage is completely absent; includes sea anemones.']",['sea anemone'],CRISP,Computer Retrieval of Information on Scientific Projects Thesaurus,2017-02-06,True,http://purl.bioontology.org/ontology/CSP/0182-2655
Anthozoa,Anthozoa,NA,['anthozoans'],CL,Cell Ontology,2017-04-14,True,http://purl.obolibrary.org/obo/NCBITaxon_6101
Anthozoa,Anthozoa,NA,NA,UBERON,Uber Anatomy Ontology,2017-05-31,True,http://purl.obolibrary.org/obo/NCBITaxon_6101
Anthozoa,Anthozoa,NA,['anthozoans'],NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,True,http://purl.obolibrary.org/obo/NCBITaxon_6101
Anthozoa,Anthozoa,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,False,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D037421
Anthozoa,Anthozoa,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#B01.050.500.308.237
Anthozoa,Anthozoa,['A class of phylum Cnidaria.'],NA,MIRNAO,MicroRNA Ontology,2013-12-10,True,http://purl.obolibrary.org/obo/NCBITaxon_6101
Anthozoa,Anthozoa,NA,NA,FB-SP,Fly Taxonomy,2013-06-20,True,http://purl.obolibrary.org/obo/FBsp_00000949
Anthozoa,Anthozoa,NA,['anthozoans'],CHEAR,Children's Health Exposure Analysis Resource,2017-05-24,False,http://purl.obolibrary.org/obo/NCBITaxon_6101
Anthozoa,Class Anthozoa,NA,"['Class Anthozoa (organism)', 'Anthozoa']",SNOMEDCT,SNOMED CT,2017-02-06,True,http://purl.bioontology.org/ontology/SNOMEDCT/421900003
Anthozoa,Anthozoa incertae sedis,NA,NA,NCBITAXON,National Center for Biotechnology Information (NCBI) Organismal Classification,2017-02-06,True,http://purl.bioontology.org/ontology/NCBITAXON/1499634
Anthozoa,Yellow fluorescent proteins from Anthozoa,NA,NA,FBbi,Biological Imaging Methods Ontology,2016-09-13,True,http://purl.obolibrary.org/obo/FBbi_00000485
Anthozoa,fluorescent protein derived from Anthozoa,NA,NA,FBbi,Biological Imaging Methods Ontology,2016-09-13,True,http://purl.obolibrary.org/obo/FBbi_00000433
Anthozoa,Far-red fluorescent proteins from Anthozoa,NA,NA,FBbi,Biological Imaging Methods Ontology,2016-09-13,True,http://purl.obolibrary.org/obo/FBbi_00000484
Anthozoa,Orange fluorescent proteins from Anthozoa,NA,NA,FBbi,Biological Imaging Methods Ontology,2016-09-13,True,http://purl.obolibrary.org/obo/FBbi_00000482
Anthozoa,Cyan fluorescent proteins from Anthozoa,NA,NA,FBbi,Biological Imaging Methods Ontology,2016-09-13,True,http://purl.obolibrary.org/obo/FBbi_00000480
